round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
25,S,57,60,3,26,25,4.20,2.88,3.3728,66.70,49.8,31.1,2018,1947,A,0,0,Dream,Process,4
25,S,110,68,0,15,45,5.00,5.13,0.1306,76.17,0.0,128.5,1830,2011,A,0,2,Star,Process,4
25,S,35,7,3,50,46,4.75,4.67,7.5743,79.40,24.7,49.5,2036,2036,A,2,1,Ribbon,Process,4
25,S,43,138,0,45,47,4.00,5.38,0.6628,85.89,39.7,39.8,1950,2019,A,1,3,Ribbon,Process,4
25,S,159,160,3,38,29,3.09,4.17,-2.1167,91.55,69.1,28.4,1968,2081,A,2,0,Star,Process,4
25,S,125,81,3,28,25,3.17,3.29,6.8679,87.60,29.1,22.9,2200,1956,A,0,0,Dream,Process,4
25,S,49,118,0,24,43,3.40,4.88,4.7812,96.02,0.0,105.1,2103,1994,A,0,2,Dream,Process,4
25,S,136,21,3,70,13,4.92,4.33,2.6479,91.41,248.6,0.0,2024,2043,A,5,0,Ribbon,Process,4
25,S,151,72,3,78,21,4.43,3.17,8.2480,96.57,171.8,5.9,2164,2031,A,5,0,Star,Process,4
25,S,69,73,3,40,34,4.29,3.75,7.7579,95.79,32.1,32.2,2447,1992,A,1,0,Star,Process,4
25,S,8,33,0,25,59,3.29,5.00,-8.4376,98.33,13.2,112.7,2051,2586,A,0,3,Ribbon,Process,4
25,S,91,55,0,20,28,2.57,5.00,-1.2231,104.01,3.1,70.9,2163,2329,A,0,2,Dream,Process,4
