round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
27,S,73,119,3,126,17,6.50,4.25,20.9070,48.27,304.1,8.7,1997,1318,A,10,0,PA,Draw,3
27,S,103,114,0,32,39,3.33,5.00,-0.3066,22.18,0.0,80.7,1609,1552,A,0,0,PA,Draw,3
27,S,131,152,3,54,19,4.00,4.25,7.6387,27.03,110.2,11.7,1784,1393,A,3,0,PA,Draw,3
27,S,126,109,2,57,43,5.25,3.55,11.4788,49.33,60.0,24.3,1993,1660,A,3,1,PA,Draw,3
27,S,149,65,3,43,42,6.20,4.22,12.8207,48.66,22.3,53.0,1974,1407,A,1,1,PA,Draw,3
27,S,89,157,0,25,28,3.75,3.25,11.5105,54.37,0.0,71.2,1861,1623,A,-2,0,PA,Draw,3
27,S,118,76,3,66,18,6.57,3.20,16.0909,56.36,119.2,5.6,2004,1658,A,4,0,PA,Draw,3
27,S,147,101,0,16,44,3.33,4.00,11.9520,68.85,0.0,143.7,1861,1658,A,-2,2,PA,Draw,3
27,S,41,153,3,51,24,4.71,2.44,15.2899,60.65,98.1,15.1,1949,1704,A,2,0,PA,Draw,3
27,S,91,19,3,46,14,4.00,3.50,14.4143,67.20,111.4,7.6,2171,1739,A,2,0,PA,Draw,3
27,S,97,156,0,9,70,4.50,4.91,-9.6121,68.95,3.3,275.6,1744,2031,A,0,5,PA,Draw,3
27,S,37,150,3,48,33,4.57,2.90,11.9189,63.72,61.6,28.4,1969,1727,A,1,0,PA,Draw,3
27,S,158,67,0,51,60,4.50,5.40,2.3676,53.29,35.5,70.1,1735,1672,A,3,3,PA,Draw,3
27,S,53,127,0,26,70,3.00,4.62,-2.4463,61.31,3.9,132.0,1794,1897,A,1,5,PA,Draw,3
27,S,105,148,3,26,7,3.43,5.00,-7.4018,78.77,153.4,0.0,1883,2016,A,1,-2,PA,Draw,3
27,S,61,14,3,77,33,4.77,3.63,6.8145,67.03,123.9,0.5,1996,1744,A,8,0,PA,Draw,3
27,S,134,87,0,22,47,3.33,4.10,-1.6168,67.68,0.0,112.5,1796,1881,A,0,2,PA,Draw,3
27,S,130,6,3,39,32,3.33,3.50,5.1934,58.73,39.2,21.0,1883,1823,A,2,0,PA,Draw,3
27,S,8,26,3,56,25,4.10,4.60,11.1103,73.61,103.9,24.1,2060,1734,A,3,1,PA,Draw,3
27,S,83,75,3,46,26,3.70,4.00,4.9065,76.28,94.4,10.3,2049,1782,A,1,0,PA,Draw,3
27,S,159,117,0,21,36,3.75,4.25,5.6643,76.81,0.0,110.5,1906,1833,A,0,2,PA,Draw,3
27,S,44,110,3,26,24,4.00,3.67,7.5674,73.12,34.7,33.3,2000,1817,A,0,0,PA,Draw,3
27,S,93,52,0,9,25,3.00,4.50,-5.3961,81.08,9.9,97.7,1860,1998,A,0,0,PA,Draw,3
27,S,43,50,3,38,23,3.88,4.20,3.3123,74.83,89.9,15.1,1987,1679,A,1,0,PA,Draw,3
27,S,35,64,0,10,61,3.00,4.23,5.5578,84.68,0.0,332.9,1959,1877,A,-2,5,PA,Draw,3
27,S,138,13,0,36,43,5.40,3.90,7.1391,90.44,27.9,82.7,2002,1973,A,0,3,PA,Draw,3
27,S,68,46,0,20,47,3.40,3.91,1.3782,84.03,0.0,126.5,1937,1914,A,0,2,PA,Draw,3
27,S,116,155,0,17,59,3.75,5.40,-0.6287,87.22,0.0,250.2,1913,1944,A,0,3,PA,Draw,3
27,S,106,151,0,33,64,3.88,5.89,-4.5357,93.27,20.5,111.6,1974,2193,A,0,5,PA,Draw,3
27,S,49,107,3,26,19,3.00,2.83,5.7413,92.89,70.6,12.1,2125,1910,A,0,0,PA,Draw,3
27,S,12,136,3,29,28,4.33,5.20,1.4673,94.35,26.7,35.9,2030,2014,A,0,0,PA,Draw,3
27,S,160,80,3,29,14,3.43,4.67,2.7019,94.98,100.2,12.7,2072,1945,A,1,0,PA,Draw,3
