round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
47,R,121,119,0,36,46,4.00,5.71,0.1628,11.30,25.4,66.5,1235,1261,A,1,1,,,
47,R,91,85,3,51,20,5.50,4.00,24.1938,48.40,78.0,14.1,2197,1086,A,2,0,,,
47,R,105,103,3,39,33,5.40,3.88,13.0359,30.21,51.6,33.5,1945,1527,A,0,0,,,
47,R,32,17,0,6,88,3.00,4.87,-4.8289,24.06,0.0,696.8,1414,1611,A,0,6,,,
47,R,139,136,0,34,35,2.73,5.75,-11.3720,48.77,30.5,39.9,1354,1998,A,0,0,,,
47,R,138,133,3,42,8,4.40,4.00,13.1371,51.61,132.1,4.3,2024,1410,A,2,0,,,
47,R,128,113,0,29,47,3.00,4.57,-11.2812,48.89,13.2,75.7,1443,2193,A,0,1,,,
47,R,41,34,3,49,27,5.17,2.78,19.1236,49.51,98.5,21.3,1987,1464,A,1,0,,,
47,R,122,120,0,38,50,3.09,5.43,-7.7134,37.39,26.3,52.4,1446,1982,A,0,2,,,
47,R,45,42,0,35,38,4.60,4.00,14.5277,62.33,0.0,98.4,1993,1424,A,-2,0,,,
47,R,1,13,3,48,33,3.38,5.75,-8.4025,49.41,103.0,9.4,1559,1911,A,2,0,,,
47,R,112,98,0,18,70,3.20,5.20,-11.8616,48.22,7.1,117.8,1365,1890,A,0,5,,,
47,R,76,71,3,52,33,4.00,4.14,6.3893,24.98,85.5,22.8,1666,1331,A,3,0,,,
47,R,4,7,0,13,39,3.25,4.29,-4.5515,46.12,4.8,112.2,1538,2013,A,0,1,,,
47,R,31,18,0,15,71,3.75,4.46,-7.1314,43.85,7.9,164.0,1482,1852,A,0,5,,,
47,R,62,52,0,35,70,3.00,5.67,-13.0607,59.50,30.4,110.6,1340,2129,A,2,6,,,
47,R,155,152,3,52,17,4.86,4.25,14.9587,50.50,102.6,16.3,1895,1441,A,3,0,,,
47,R,2,14,3,37,33,5.00,4.29,-1.0679,34.62,36.2,22.1,1432,1669,A,0,0,,,
47,R,26,24,3,45,31,4.83,3.63,12.1984,37.42,31.9,32.1,1787,1601,A,1,0,,,
47,R,154,149,0,13,38,3.25,4.67,-5.5051,56.61,3.0,102.7,1444,2032,A,0,1,,,
47,R,11,6,0,47,49,4.30,5.25,-3.2952,40.91,46.1,41.9,1576,1818,A,1,2,,,
47,R,92,86,3,65,31,5.44,3.22,9.5685,38.75,110.0,8.2,1755,1521,A,4,0,,,
47,R,124,117,0,21,40,3.17,4.43,-6.7031,47.39,12.7,71.6,1583,1884,A,0,1,,,
47,R,46,36,3,46,28,4.14,3.00,12.8012,49.33,67.3,16.5,1872,1350,A,1,0,,,
47,R,27,23,3,57,38,4.78,5.14,8.0554,43.01,97.2,23.2,1798,1638,A,2,0,,,
47,R,28,22,3,50,31,5.67,3.22,16.2599,53.69,70.0,24.3,2067,1605,A,2,0,,,
47,R,48,40,0,14,40,3.50,5.20,-12.9365,63.29,10.2,104.7,1525,2403,A,0,2,,,
47,R,109,97,3,42,24,3.45,4.40,-0.0244,39.72,100.2,17.2,1694,1762,A,2,0,,,
47,R,25,21,1,46,47,3.08,4.75,-5.4932,48.26,41.5,41.0,1673,1879,A,1,-1,,,
47,R,157,146,0,27,32,4.17,3.86,-2.8552,42.38,15.7,56.0,1604,1773,A,0,0,,,
47,R,141,130,0,22,32,3.33,3.57,-3.2648,45.17,22.9,41.9,1583,1860,A,0,0,,,
47,R,79,65,3,44,14,4.43,3.50,8.6275,47.55,103.8,5.5,1967,1474,A,2,0,,,
47,R,77,67,0,26,37,4.00,5.00,-3.4162,52.11,14.9,75.7,1568,1791,A,0,0,,,
47,R,47,33,3,40,39,2.77,6.75,-10.7629,78.47,80.1,34.2,1664,2448,A,3,-1,,,
47,R,140,135,3,55,35,3.77,5.80,-3.5879,51.70,108.6,15.4,1658,1749,A,3,0,,,
47,R,60,53,0,35,40,3.86,3.60,5.8124,56.17,28.5,67.0,1899,1732,A,0,4,,,
47,R,61,51,3,41,36,4.43,4.25,6.0541,60.86,26.0,41.6,1951,1567,A,-1,1,,,
47,R,108,101,0,26,50,3.17,3.67,4.8479,49.50,0.0,106.1,1627,1655,A,0,3,,,
47,R,144,131,3,60,26,5.22,3.67,6.8792,54.65,114.8,6.4,2047,1754,A,4,0,,,
47,R,153,150,0,33,56,4.29,4.17,1.1302,44.87,16.1,95.4,1679,1764,A,0,2,,,
47,R,10,8,0,23,68,3.50,4.82,-9.0064,66.78,12.9,131.4,1622,2061,A,0,4,,,
47,R,96,82,0,16,45,4.67,4.10,2.0116,45.17,10.4,120.8,1586,1589,A,0,2,,,
47,R,125,114,3,58,8,4.20,2.67,12.3154,63.75,192.1,2.6,2118,1620,A,3,0,,,
47,R,158,145,3,48,38,4.10,3.78,2.7810,43.00,63.5,19.2,1712,1636,A,1,0,,,
47,R,137,134,3,43,26,4.11,4.00,0.1156,48.04,175.8,0.0,1519,1745,A,2,0,,,
47,R,74,72,0,20,61,3.00,4.45,-7.5217,69.60,3.3,119.1,1658,2068,A,0,4,,,
47,R,78,66,0,12,47,3.00,4.25,-9.1701,70.04,0.0,128.0,1623,2122,A,0,2,,,
47,R,59,55,0,39,49,3.18,5.83,-8.4765,74.92,28.9,71.0,1675,2352,A,0,2,,,
47,R,12,15,3,58,23,4.78,4.20,8.6445,70.05,115.3,4.8,2089,1721,A,3,0,,,
