round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
15,S,24,136,0,30,51,3.11,5.50,-12.0872,59.05,15.2,60.9,1702,2034,A,0,2,Ribbon,Draw,3
15,S,147,145,3,48,6,3.50,3.00,8.9173,52.06,162.3,0.0,1877,1722,A,2,0,Star,Draw,3
15,S,144,15,3,57,28,4.67,4.33,9.0379,52.94,105.8,20.6,2181,1749,A,3,0,Ribbon,Draw,3
15,S,56,114,3,40,23,4.50,3.50,10.6439,63.91,81.8,11.5,2253,1590,A,2,0,Dream,Draw,3
15,S,40,26,3,38,19,3.67,3.40,14.6004,69.65,80.6,15.3,2292,1715,A,0,0,Ribbon,Draw,3
15,S,57,127,0,32,41,3.22,4.11,1.1826,67.81,14.0,78.3,2027,1880,A,0,1,Dream,Draw,3
15,S,55,93,3,73,25,5.78,3.29,15.0491,73.86,124.7,7.8,2258,1862,A,5,0,Dream,Draw,3
15,S,88,61,1,57,59,4.70,4.08,5.9526,82.25,37.8,68.0,1995,1913,A,3,5,Dream,Draw,3
15,S,132,134,3,53,22,4.11,3.33,9.5620,76.83,106.9,11.7,2334,1878,A,3,0,Ribbon,Draw,3
15,S,99,156,0,16,40,4.00,3.78,-1.9139,78.65,0.0,109.5,1758,1879,A,0,2,Star,Draw,3
15,S,66,72,0,23,28,3.00,4.17,-0.8005,81.89,0.0,57.0,2022,2093,A,0,0,Star,Draw,3
15,S,142,12,3,43,26,5.14,3.43,4.9438,74.86,72.6,17.3,2092,1991,A,3,0,Ribbon,Draw,3
15,S,104,100,3,31,28,3.67,3.71,6.9777,80.74,45.6,35.6,2214,2012,A,0,0,Star,Draw,3
15,S,116,81,3,49,20,3.90,3.00,6.2328,79.16,113.2,5.1,2012,1977,A,2,0,Dream,Draw,3
15,S,33,21,3,52,41,6.00,3.36,13.7175,83.43,78.8,37.3,2552,2060,A,3,1,Ribbon,Draw,3
15,S,29,129,2,38,35,4.00,3.44,1.9728,89.80,37.9,30.8,2087,2186,A,0,0,Ribbon,Draw,3
15,S,106,151,0,25,36,3.83,4.67,-3.5216,88.00,19.7,74.4,1967,2049,A,0,0,Star,Draw,3
15,S,73,155,3,32,20,3.83,3.00,6.9938,84.32,73.6,9.8,2021,1851,A,0,0,Star,Draw,3
15,S,91,126,1,31,41,4.40,3.70,6.9477,97.02,15.9,100.2,2078,2048,A,0,5,Dream,Draw,3
15,S,45,28,0,23,26,3.17,3.43,1.8264,87.03,23.6,43.6,2043,2003,A,0,0,Ribbon,Draw,3
15,S,160,80,3,48,33,4.10,3.63,3.3483,86.98,97.1,19.5,2038,1872,A,2,0,Star,Draw,3
15,S,123,83,0,30,49,3.67,3.31,5.9155,95.39,0.0,106.9,2129,2055,A,0,2,Dream,Draw,3
15,S,149,148,0,47,48,4.10,4.40,2.2684,90.22,51.2,52.3,1980,1838,A,1,4,Star,Draw,3
15,S,113,49,3,27,18,2.33,3.20,4.0324,92.29,41.7,25.5,2432,2092,A,2,0,Dream,Draw,3
