round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
17,L,121,159,0,20,70,3.33,6.00,-13.7335,34.83,4.2,127.0,1351,1912,A,0,5,,,
17,L,139,96,3,48,31,3.67,5.25,-12.4093,42.99,110.7,0.0,1388,1679,A,2,-2,,,
17,L,102,62,3,42,34,6.00,2.91,12.2385,25.30,35.2,32.6,1385,1245,A,3,0,,,
17,L,85,84,0,22,46,2.86,4.50,-5.5337,29.93,13.1,91.0,1208,1441,A,0,1,,,
17,L,119,65,0,44,54,5.43,5.33,2.4178,16.59,24.5,50.6,1342,1337,A,1,2,,,
17,L,131,13,0,30,39,3.11,5.40,-10.7247,42.84,25.4,58.1,1722,1960,A,0,0,,,
17,L,31,157,3,30,19,4.67,5.00,-2.0630,25.10,84.0,6.2,1453,1589,A,0,0,,,
17,L,128,82,0,22,39,4.00,4.83,-7.8755,31.45,24.3,52.7,1469,1589,A,1,0,,,
17,L,10,16,3,39,30,4.63,3.83,-3.2621,37.67,85.8,4.8,1532,1696,A,0,0,,,
17,L,76,156,0,22,43,3.33,4.50,-15.5572,52.33,18.9,53.6,1619,1873,A,0,1,,,
17,L,34,133,0,34,55,4.50,4.90,2.8265,23.14,14.1,105.1,1600,1492,A,0,4,,,
17,L,143,71,3,77,34,4.21,5.33,9.9081,38.65,109.3,25.6,1591,1340,A,5,2,,,
17,L,36,112,3,56,18,4.27,3.20,2.5815,21.54,129.3,0.0,1335,1365,A,4,0,,,
17,L,21,103,3,66,22,5.88,3.33,15.3356,47.68,100.8,6.3,2089,1712,A,4,0,,,
17,L,52,42,3,62,28,4.67,3.25,14.2648,46.78,103.2,15.1,1894,1452,A,4,0,,,
17,L,152,86,0,34,57,4.43,4.64,1.4391,27.80,18.7,102.2,1406,1565,A,1,4,,,
17,L,90,2,3,79,7,4.50,3.50,8.2145,45.88,418.6,0.0,1477,1374,A,6,0,,,
17,L,154,114,3,41,10,3.70,4.00,-2.4770,36.71,136.0,0.0,1465,1555,A,2,0,,,
17,L,64,140,3,42,30,4.83,4.00,9.0871,40.30,48.8,20.5,1724,1551,A,1,0,,,
17,L,137,54,3,63,24,4.38,4.20,-0.6060,33.99,138.5,0.0,1415,1486,A,4,0,,,
17,L,24,145,3,41,31,4.63,4.83,2.2514,30.20,53.6,14.5,1717,1707,A,3,0,,,
17,L,32,38,0,28,47,2.89,4.88,-3.8842,42.05,8.0,94.1,1569,1756,A,0,1,,,
17,L,92,74,3,50,21,3.42,4.75,2.7635,29.47,109.5,12.5,1657,1536,A,3,1,,,
17,L,151,122,3,18,4,6.00,2.00,18.7970,61.29,89.0,9.3,2064,1525,A,2,0,,,
17,L,1,41,0,9,40,4.50,3.56,-6.0458,53.53,8.7,119.5,1687,1896,A,0,2,,,
17,L,19,73,3,32,15,3.00,5.50,-16.1772,76.84,119.3,0.0,1732,2006,A,1,-2,,,
17,L,97,4,3,42,22,3.89,4.00,3.0542,34.47,86.9,14.2,1788,1610,A,1,0,,,
17,L,109,43,0,25,64,3.29,5.10,-9.1438,54.10,12.7,110.7,1681,2029,A,0,4,,,
17,L,27,51,3,43,24,3.89,4.40,3.5593,44.91,101.6,7.7,1662,1518,A,2,0,,,
17,L,47,80,0,20,42,2.57,4.83,-8.5747,63.50,12.2,101.1,1619,1885,A,0,2,,,
17,L,44,25,3,48,22,3.09,4.00,10.0154,48.43,101.2,20.6,1927,1782,A,2,0,,,
17,L,60,158,0,28,29,3.40,3.38,8.8162,55.82,27.5,54.4,1950,1778,A,0,2,,,
17,L,77,95,0,20,31,3.00,3.80,-12.7506,66.50,14.3,52.8,1613,2051,A,0,0,,,
17,L,11,5,0,26,65,3.43,5.20,-6.6106,59.72,12.5,118.4,1552,1795,A,0,4,,,
17,L,99,141,3,42,25,4.83,3.29,8.6186,52.98,73.6,8.9,1768,1604,A,1,0,,,
17,L,127,48,3,43,35,6.20,3.67,9.6743,56.96,48.7,45.3,1884,1570,A,4,0,,,
17,L,135,17,3,39,21,4.25,4.75,0.7412,54.58,105.2,0.0,1669,1594,A,1,0,,,
17,L,148,15,3,80,17,5.64,3.00,12.3767,65.67,198.7,2.2,1863,1724,A,6,0,,,
17,L,147,22,3,44,42,4.43,3.45,9.2501,59.95,22.6,65.1,1885,1771,A,1,3,,,
17,L,130,153,3,59,25,4.45,3.83,6.4835,48.05,110.1,12.2,1869,1759,A,3,0,,,
17,L,124,26,0,26,46,3.43,4.67,0.2418,52.51,20.7,91.7,1662,1740,A,1,1,,,
17,L,142,23,3,52,43,5.71,3.90,8.1856,62.92,69.2,25.6,2095,1753,A,2,1,,,
17,L,146,117,0,10,26,3.33,3.83,-0.8004,56.82,0.0,112.5,1731,1731,A,0,1,,,
17,L,115,136,0,32,46,4.29,4.86,-8.4754,74.29,28.1,56.2,1661,2057,A,0,3,,,
