round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
19,S,70,121,3,73,26,4.90,3.00,14.0170,30.27,109.8,9.0,1636,1342,A,5,0,PA,Process,2
19,S,128,42,3,45,32,5.71,4.29,1.3377,19.89,83.0,14.0,1484,1437,A,1,0,PA,Process,2
19,S,112,136,3,44,9,3.33,5.00,-13.9432,68.53,271.5,0.0,1427,1996,A,2,-2,PA,Process,2
19,S,2,122,3,30,27,4.67,4.17,0.1760,24.90,57.1,0.0,1393,1506,A,0,0,PA,Process,2
19,S,18,76,3,60,11,4.09,3.67,11.3565,41.49,152.3,4.0,1788,1620,A,4,0,PA,Process,2
19,S,152,20,0,24,48,4.40,6.17,-6.5634,44.59,18.1,97.3,1439,1827,A,0,1,PA,Process,2
19,S,140,151,0,20,97,3.00,5.67,-17.4363,59.45,7.3,214.0,1543,2075,A,0,7,PA,Process,2
19,S,1,147,0,26,37,3.43,4.50,-8.2372,52.87,16.0,65.3,1651,1897,A,0,0,PA,Process,2
19,S,108,145,3,45,24,4.38,2.75,5.8661,38.64,99.9,9.7,1665,1645,A,1,0,PA,Process,2
19,S,54,24,3,47,19,4.10,3.40,1.8829,32.64,111.1,0.0,1524,1651,A,2,0,PA,Process,2
19,S,154,52,0,25,49,2.88,5.50,-11.8167,56.47,12.3,100.9,1459,1906,A,0,2,PA,Process,2
19,S,15,95,0,24,48,3.14,5.33,-14.0327,64.16,24.0,60.1,1682,2060,A,0,3,PA,Process,2
19,S,92,63,3,44,18,4.00,3.20,-0.0093,51.43,120.5,0.0,1660,1627,A,3,0,PA,Process,2
19,S,9,22,0,22,30,5.00,4.00,4.5610,53.00,15.4,83.2,1672,1740,A,0,0,PA,Process,2
19,S,148,77,3,74,27,6.11,3.57,13.3023,65.25,116.8,8.3,1900,1604,A,5,0,PA,Process,2
19,S,114,59,3,21,19,3.80,4.00,-0.7458,52.01,38.3,16.4,1614,1720,A,0,0,PA,Process,2
19,S,78,19,0,26,29,3.80,3.86,4.7887,56.18,19.8,54.0,1720,1762,A,0,2,PA,Process,2
19,S,64,115,3,27,22,3.80,3.33,5.5111,53.21,34.2,17.4,1761,1652,A,0,0,PA,Process,2
19,S,16,28,3,48,42,4.00,5.00,-7.8154,75.47,89.8,0.0,1713,1981,A,2,1,PA,Process,2
19,S,75,120,3,47,29,3.58,3.57,-2.1888,63.27,105.0,15.1,1739,2122,A,2,0,PA,Process,2
19,S,96,57,0,25,30,3.83,3.13,-0.9798,62.09,21.8,54.6,1667,2055,A,0,0,PA,Process,2
19,S,39,8,0,25,75,3.83,5.45,-8.8460,73.45,4.2,134.5,1671,2043,A,0,6,PA,Process,2
19,S,17,73,0,19,42,3.40,5.33,-5.8920,73.64,13.9,113.9,1587,2013,A,0,2,PA,Process,2
19,S,67,138,0,27,58,3.57,4.90,-2.5631,73.10,0.0,114.8,1680,1933,A,0,3,PA,Process,2
19,S,94,110,3,34,21,3.00,3.60,-0.7786,77.62,69.6,16.3,1696,1882,A,2,0,PA,Process,2
19,S,50,159,0,23,39,3.60,3.18,2.8599,73.90,8.0,107.3,1639,1924,A,0,1,PA,Process,2
19,S,127,6,0,25,35,3.80,3.67,4.3832,76.33,3.4,93.1,1864,1893,A,0,1,PA,Process,2
19,S,61,45,3,41,35,3.36,4.29,-2.6368,84.58,72.1,36.2,1921,2021,A,4,0,PA,Process,2
19,S,46,134,3,45,26,4.25,2.67,6.8305,79.10,100.5,16.7,1888,1885,A,2,0,PA,Process,2
19,S,98,156,0,23,49,3.50,4.00,-1.0264,89.56,0.0,113.4,1778,1916,A,0,2,PA,Process,2
19,S,5,35,0,42,47,4.63,4.78,1.2565,90.33,15.6,66.3,1776,2033,A,1,1,PA,Process,2
19,S,155,37,0,11,16,3.50,2.80,4.3013,92.52,5.6,59.8,1865,1919,A,0,0,PA,Process,2
