round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
22,L,52,121,3,83,22,6.33,3.67,20.9276,43.19,117.3,12.6,1952,1337,A,6,0,,,
22,L,62,84,0,35,55,3.30,6.50,-13.6657,34.13,19.6,60.5,1228,1531,A,0,2,,,
22,L,85,102,0,33,36,3.44,5.40,-5.1738,28.13,30.6,42.5,1188,1421,A,0,0,,,
22,L,90,119,3,53,14,5.83,3.50,11.9233,36.83,109.4,4.6,1476,1346,A,3,0,,,
22,L,50,139,3,45,20,4.83,3.60,13.1544,36.00,83.8,10.8,1666,1362,A,1,0,,,
22,L,99,128,3,46,17,4.29,3.00,14.3564,31.41,96.9,9.7,1741,1451,A,1,0,,,
22,L,103,126,0,23,72,3.50,6.38,-12.7671,40.24,7.5,125.4,1648,1996,A,0,5,,,
22,L,39,34,3,64,25,5.88,3.83,12.6407,29.56,103.0,7.2,1712,1548,A,4,0,,,
22,L,133,61,0,25,76,3.83,6.33,-10.9953,40.32,5.7,125.2,1462,1915,A,0,5,,,
22,L,108,71,3,45,37,4.71,3.00,7.9108,30.34,29.3,29.0,1652,1340,A,3,0,,,
22,L,159,42,3,45,25,3.86,3.29,13.7617,43.71,78.6,13.3,1942,1431,A,1,0,,,
22,L,142,32,3,61,20,6.29,3.60,13.4959,45.56,124.0,11.1,2078,1544,A,5,0,,,
22,L,135,152,3,58,38,5.63,5.14,8.9262,29.75,68.4,25.4,1689,1418,A,2,0,,,
22,L,41,74,3,55,38,5.29,3.09,17.5707,43.66,48.0,22.2,1892,1519,A,2,0,,,
22,L,65,2,3,41,20,3.27,3.60,1.3045,21.33,102.8,0.0,1418,1389,A,2,0,,,
22,L,137,36,3,56,33,5.22,4.83,2.9213,24.12,106.0,7.2,1401,1304,A,3,0,,,
22,L,76,24,3,45,21,3.80,4.75,2.6677,24.77,106.9,10.1,1655,1612,A,2,0,,,
22,L,92,1,3,38,34,3.75,4.00,4.4224,32.40,25.3,42.8,1693,1625,A,0,1,,,
22,L,46,140,3,56,43,4.75,3.55,13.6300,53.69,60.0,37.0,1904,1566,A,2,2,,,
22,L,145,156,0,26,66,2.67,5.11,-14.3215,57.93,18.1,112.0,1612,1939,A,0,5,,,
22,L,127,11,3,47,22,5.50,3.33,10.4021,45.89,100.6,13.0,1876,1521,A,2,0,,,
22,L,10,101,3,33,26,3.44,3.83,-0.6230,35.49,52.2,23.2,1566,1635,A,0,0,,,
22,L,47,131,0,31,39,4.33,3.89,3.3444,31.37,16.4,59.5,1598,1782,A,0,0,,,
22,L,31,78,3,47,25,3.42,4.50,-4.6731,44.89,113.4,0.0,1535,1689,A,2,0,,,
22,L,25,12,0,33,42,3.44,4.67,-9.8976,52.88,33.5,52.3,1685,1991,A,0,1,,,
22,L,154,27,0,24,55,2.75,4.60,-2.8182,40.98,0.0,106.9,1430,1674,A,0,3,,,
22,L,95,122,3,65,28,5.50,3.25,13.4775,60.91,110.1,13.7,2073,1523,A,4,0,,,
22,L,97,109,3,40,30,4.00,3.11,4.4528,33.88,56.5,12.6,1778,1673,A,1,0,,,
22,L,112,54,1,44,46,4.00,5.00,-1.7996,43.53,25.4,44.1,1448,1594,A,1,1,,,
22,L,5,48,3,66,34,4.80,3.56,12.3974,55.64,99.2,23.4,1815,1528,A,3,0,,,
22,L,51,114,3,46,27,4.22,3.57,4.4409,32.87,61.8,6.3,1545,1564,A,1,0,,,
22,L,151,77,3,49,31,5.17,3.22,15.5428,63.78,73.1,27.4,2114,1578,A,1,0,,,
22,L,43,4,3,44,14,5.00,3.50,9.8433,52.75,105.3,11.9,2006,1620,A,2,0,,,
22,L,75,157,3,39,21,3.63,2.38,5.8306,41.44,82.7,7.9,1751,1617,A,0,0,,,
22,L,22,28,0,24,30,3.14,5.00,-9.0890,62.14,21.8,40.4,1705,2020,A,0,0,,,
