round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
21,L,73,121,3,36,18,5.00,3.00,18.3490,47.19,29.3,27.7,2025,1339,A,2,0,,,
21,L,62,94,0,20,52,2.00,4.13,-15.0449,34.36,8.8,92.4,1238,1719,A,0,2,,,
21,L,71,85,3,39,26,4.67,3.43,6.6377,11.53,70.3,14.4,1344,1197,A,0,0,,,
21,L,112,119,3,50,32,4.88,4.67,7.3949,18.04,43.7,13.5,1460,1364,A,2,0,,,
21,L,51,139,3,48,15,4.00,2.17,7.7023,17.39,112.0,4.8,1524,1368,A,2,0,,,
21,L,75,128,3,44,28,3.75,3.25,10.3008,26.35,49.8,18.9,1740,1458,A,1,0,,,
21,L,103,131,0,15,52,4.33,5.11,1.5814,18.75,0.0,137.3,1662,1769,A,0,3,,,
21,L,15,34,3,55,33,4.67,3.63,6.6029,23.54,63.4,15.0,1687,1563,A,2,0,,,
21,L,65,36,3,49,30,4.40,5.60,1.1084,21.43,101.4,10.1,1399,1319,A,4,1,,,
21,L,2,137,3,41,28,3.60,4.00,1.0161,24.96,64.3,13.3,1408,1386,A,3,0,,,
21,L,42,57,0,33,37,4.43,5.40,-7.5363,38.45,30.9,52.9,1433,2033,A,0,0,,,
21,L,140,18,3,29,14,3.86,5.00,-5.0872,45.10,104.6,0.0,1570,1753,A,1,-2,,,
21,L,133,148,0,16,61,2.80,6.17,-16.6881,54.31,7.5,126.8,1471,1934,A,0,4,,,
21,L,74,127,0,30,31,2.60,5.25,-10.0214,43.85,36.2,29.7,1523,1871,A,0,-2,,,
21,L,30,32,3,50,6,5.00,2.00,11.3989,45.79,200.5,2.0,2076,1547,A,3,0,,,
21,L,9,152,3,38,28,3.57,3.00,8.5885,33.56,67.2,14.8,1650,1424,A,0,0,,,
21,L,141,31,0,38,39,4.14,3.50,7.1407,36.24,12.9,43.8,1591,1502,A,0,2,,,
21,L,136,76,3,60,35,5.71,3.67,15.4750,55.59,86.9,14.6,1980,1636,A,3,0,,,
21,L,5,1,3,45,15,4.14,2.60,11.9766,49.39,100.1,5.8,1808,1635,A,2,0,,,
21,L,45,24,2,42,33,4.33,3.44,13.6171,53.32,19.5,39.9,1993,1631,A,1,0,,,
21,L,145,138,0,25,60,3.29,5.25,-9.6447,53.52,13.1,112.2,1626,1982,A,0,4,,,
21,L,17,10,3,44,35,3.67,3.44,7.4832,40.39,58.4,33.8,1622,1548,A,1,1,,,
21,L,25,81,0,12,18,3.00,4.00,-6.6635,53.15,20.1,32.8,1693,1991,A,0,2,,,
21,L,157,99,3,27,13,2.78,4.50,-6.2378,51.62,108.2,0.0,1628,1734,A,1,-2,,,
21,L,70,154,3,44,33,3.88,3.88,8.5476,42.21,49.7,34.5,1649,1448,A,1,1,,,
21,L,122,37,0,43,59,4.10,5.50,-10.5253,56.57,23.6,75.4,1525,1933,A,1,2,,,
21,L,91,109,3,54,26,5.14,3.43,13.9594,62.77,63.7,14.4,2163,1683,A,4,0,,,
21,L,41,11,3,86,10,5.23,3.33,10.4385,50.65,313.6,0.0,1888,1526,A,7,0,,,
21,L,86,101,3,27,26,4.17,4.80,0.1706,41.50,45.2,18.0,1570,1653,A,2,0,,,
21,L,126,47,3,49,29,6.00,3.38,8.7216,51.85,86.7,15.1,1982,1611,A,1,0,,,
21,L,8,77,3,46,28,4.67,2.89,12.5793,60.31,72.6,27.9,2026,1580,A,1,1,,,
21,L,114,50,0,33,47,4.43,4.67,-1.2812,48.88,0.0,88.4,1585,1660,A,0,1,,,
21,L,48,92,0,26,58,4.00,5.20,-1.7090,38.74,6.7,114.9,1535,1683,A,1,3,,,
21,L,4,40,0,22,79,2.86,5.50,-18.3518,63.44,13.9,155.9,1624,2301,A,0,6,,,
21,L,22,20,0,20,25,3.60,5.00,-2.5190,54.70,19.4,43.0,1712,1857,A,0,0,,,
21,L,23,79,3,32,30,4.29,4.50,-1.3930,48.78,41.8,34.1,1731,2029,A,0,0,,,
21,L,68,97,3,40,29,4.00,3.00,10.4738,54.63,66.9,19.6,1990,1768,A,2,0,,,
21,L,46,124,3,46,26,5.17,3.00,11.1896,62.30,102.1,21.2,1900,1635,A,3,0,,,
21,L,105,146,3,53,10,4.18,5.00,2.6746,44.15,187.5,0.0,1852,1676,A,3,0,,,
21,L,54,90,3,46,23,3.23,4.25,-3.5396,60.25,126.0,0.0,1582,1458,A,5,0,,,
21,L,16,135,0,25,37,4.00,3.67,2.5191,47.03,0.9,97.8,1685,1683,A,0,1,,,
21,L,108,102,0,32,44,4.33,4.00,4.4071,52.25,0.0,95.2,1648,1412,A,0,1,,,
21,L,153,87,0,22,57,4.00,4.50,-5.8829,63.85,10.6,112.1,1740,1919,A,0,3,,,
21,L,158,104,3,38,36,3.60,4.80,-10.8389,77.87,68.0,0.0,1794,2190,A,2,-2,,,
21,L,156,115,3,29,22,4.75,3.33,11.2365,69.63,38.3,24.5,1925,1660,A,0,0,,,
21,L,159,19,3,39,28,4.14,3.25,7.7547,61.42,58.8,16.6,1940,1769,A,0,0,,,
21,L,111,150,3,49,37,3.70,3.30,7.5166,62.28,70.7,19.2,2082,1758,A,1,0,,,
21,L,43,53,0,26,40,4.25,4.50,7.3981,71.48,0.0,105.6,2002,1880,A,0,2,,,
21,L,82,78,0,38,45,4.13,5.13,2.6949,55.45,44.6,57.5,1569,1722,A,1,4,,,
21,L,96,27,3,51,49,4.09,5.00,2.1048,55.22,50.9,29.7,1683,1656,A,2,1,,,
21,L,59,52,0,20,36,2.00,4.00,-5.8730,70.42,12.2,81.5,1697,1950,A,0,0,,,
21,L,38,106,0,15,50,3.75,4.78,-3.4774,66.67,0.0,123.2,1687,1987,A,0,3,,,
21,L,26,67,3,45,30,4.33,4.00,1.7576,58.80,100.4,9.7,1771,1674,A,3,0,,,
21,L,118,39,3,52,47,6.33,3.91,10.0939,70.95,47.1,37.9,1952,1697,A,2,1,,,
21,L,84,143,3,55,13,4.00,4.33,0.9318,64.82,211.4,0.0,1521,1566,A,3,0,,,
21,L,58,60,1,28,38,2.88,2.83,3.1540,68.94,0.0,75.5,2028,1976,A,0,0,,,
21,L,12,89,3,33,31,3.57,2.45,6.4906,71.64,42.2,33.3,1983,1858,A,0,0,,,
21,L,120,63,0,44,50,5.43,4.60,3.6763,68.15,26.6,66.4,2100,1680,A,1,2,,,
21,L,3,93,3,56,27,3.75,4.17,2.6374,65.35,117.6,11.9,2010,1865,A,3,0,,,
21,L,134,151,0,32,65,3.75,5.44,-10.1995,80.52,14.2,113.8,1861,2112,A,0,4,,,
21,L,29,14,3,26,18,4.75,3.20,5.4116,67.35,58.3,10.9,2025,1781,A,0,0,,,
21,L,83,130,3,35,28,4.14,4.33,3.5107,75.95,36.9,27.3,1994,1881,A,2,0,,,
21,L,98,64,3,37,30,4.43,4.00,4.2482,72.45,54.7,27.3,1797,1768,A,0,0,,,
21,L,117,69,0,26,45,4.00,5.83,-7.5645,82.27,10.4,94.7,1771,2443,A,0,1,,,
21,L,144,125,0,18,49,4.00,3.82,-3.1586,82.94,0.0,126.1,2087,2213,A,0,2,,,
21,L,100,55,0,32,77,4.29,6.10,-10.4846,84.31,22.5,130.0,1976,2292,A,1,5,,,
21,L,28,6,3,45,17,3.78,3.00,7.3287,79.70,100.4,4.2,2013,1895,A,2,0,,,
21,L,160,44,0,24,30,3.80,4.67,2.9747,88.09,15.7,72.3,2063,1968,A,0,0,,,
21,L,61,155,0,16,31,3.50,4.00,-1.3458,84.55,0.0,105.8,1906,1909,A,0,1,,,
21,L,7,123,0,39,40,4.38,4.86,-2.0300,88.27,42.6,66.4,2070,2156,A,0,2,,,
21,L,72,66,3,61,30,3.85,3.11,4.7994,83.38,109.1,11.3,2093,2015,A,5,0,,,
21,L,13,21,3,36,27,2.91,4.80,-0.9495,87.16,67.7,27.4,1987,2075,A,0,0,,,
21,L,116,142,3,45,31,5.57,5.80,2.2618,85.57,59.0,19.6,2011,2075,A,1,0,,,
21,L,88,113,3,25,19,4.60,4.00,-0.9557,91.11,65.4,13.4,1972,2359,A,0,0,,,
21,L,95,110,3,48,34,5.43,4.57,7.5614,90.48,82.1,17.8,2071,1884,A,1,0,,,
21,L,149,33,0,22,70,3.33,5.89,-9.4090,91.75,0.0,136.7,1943,2564,A,0,5,,,
21,L,35,147,3,43,24,4.25,3.67,4.5675,89.90,90.2,9.2,2046,1894,A,1,0,,,
21,L,56,49,0,14,15,2.20,2.60,0.5548,96.33,26.1,40.6,2227,2107,A,0,0,,,
21,L,80,107,3,33,16,4.00,3.50,2.8773,94.67,103.8,10.2,1929,1900,A,1,0,,,
21,L,132,129,3,44,36,5.00,4.00,4.7787,99.11,74.9,25.2,2319,2160,A,1,0,,,
